#{"t_start": 1659349931.257941, "env_id": null}
r,l,t
-15.6,58,965.254588
-12.4,26,966.434963
-11.3,15,967.003575
-27.7,179,970.587609
-18.4,86,972.417677
-20.7,8,972.802685
-28.1,82,974.919857
-40.9,311,981.06731
-20,1,981.084085
-24.5,46,982.484618
-27.2,73,983.967051
-28.7,88,986.486173
-12.6,28,986.96045
-22.0,21,987.743239
-21.6,118,990.017864
-13.4,36,991.169357
-12.3,25,991.649513
-21.6,17,992.571258
-22.9,30,993.901245
-22.8,130,996.449868
-20.2,3,996.735211
-23.3,135,999.334503
-17.9,81,1001.05095
-11.5,17,1001.637464
-11.3,15,1001.985658
-10.5,7,1002.767599
-17.9,81,1004.718044
-20,1,1004.734068
-33.8,240,1009.435379
-21.2,13,1009.903866
-36.5,267,1015.312695
-19.9,101,1017.750526
-29.3,195,1021.432952
-20.3,4,1021.751191
-21.7,18,1022.305107
-27.3,74,1023.934452
-58.0,482,1032.434834
-29.2,93,1034.434772
-12.2,24,1034.899159
-21.6,17,1035.65536
-41.2,314,1041.616279
-12.2,24,1042.025721
-27.3,175,1045.518241
-23.3,135,1048.115342
-13.8,40,1049.43411
-17.7,79,1051.084044
-15.1,53,1052.275814
-37.7,279,1057.570184
-27.2,174,1060.834668
-15.2,54,1061.75459
-12.5,27,1062.213872
-14.5,47,1063.434564
-13.6,38,1064.433194
-21.2,13,1065.466557
-35.0,252,1070.434382
-25.2,53,1072.502325
-22.4,25,1073.532982
-21.5,16,1074.053638
-11.9,21,1074.41173
-43.6,338,1080.426535
-30.7,209,1084.278812
-26.9,171,1088.0671
-20.3,4,1088.134833
-26.7,169,1091.310789
-24.3,145,1094.083906
-25.3,155,1097.45156
-12.6,28,1098.435613
-23.5,137,1100.76807
-17.0,72,1102.434325
-23.9,40,1103.520205
-14.7,49,1104.353173
-17.5,77,1105.951378
-14.6,48,1107.552634
-12.8,30,1108.061802
-12.0,22,1108.436163
-28.0,182,1111.817321
-13.1,33,1112.376973
-13.5,37,1113.00463
-16.3,65,1114.586207
-18.5,87,1116.451243
-59.3,495,1125.638215
-104.1,1092,1144.226874
-105.0,952,1160.747668
-62.6,528,1169.743946
-53.6,438,1177.204698
-12.0,22,1177.581599
-12.1,23,1177.972034
-12.5,27,1178.431306
-61.3,515,1187.195573
-12.0,22,1187.570859
-11.9,21,1187.929799
